"state","incumbent","vote_margin_pct","name","votes","party","cand_code","candidate_2000","win_2000","municode","vote_share_2000","codes","margin_2000"
"PE",1,24.3032,"GERSON HENRIQUE DE MELO",2230,"PSB","23124-gerson henrique de melo",1,1,"JUCATI",63.931,"PE_JUCATI",27.862
"PE",0,-8.62956,"ELANE VIEIRA DA SILVA",8084,"PMDB","23132-elane vieira da silva",1,1,"ALIANCA",51.381,"PE_ALIANCA",3.405
"PE",1,8.62956,"CARLOS JOSE DE ALMEIDA FREITAS",9611,"PSB","23132-carlos jose de almeida freitas",1,0,"ALIANCA",47.976,"PE_ALIANCA",-3.405
"PE",1,5.68831,"JOSE OLIMPIO RODRIGUES",4069,"PFL","23140-jose olimpio rodrigues",1,1,"DORMENTES",51.206,"PE_DORMENTES",2.66200000000001
"PE",1,8.33484,"JOSE FERREIRA DE OMENA",5979,"PSB","23159-jose ferreira de omena",1,1,"ALTINHO",57.29,"PE_ALTINHO",19.265
"PE",1,2.00786,"TADEU MARCELO NOVAIS TORRES",2337,"PSB","23167-tadeu marcelo novais torres",1,1,"CARNAUBEIRA DA PENHA",69.247,"PE_CARNAUBEIRA DA PENHA",38.494
"PE",1,5.48198,"JANIO GOUVEIA DA SILVA",3425,"PPS","23175-janio gouveia da silva",1,1,"AMARAJI",54.447,"PE_AMARAJI",8.89400000000001
"PE",1,8.33613,"JORGE ROBERTO GARZIERA",3223,"PMDB","23183-jorge roberto garziera",1,1,"LAGOA GRANDE",64.866,"PE_LAGOA GRANDE",29.732
"PE",1,6.71451,"MARCO ANTONIO LEAL CALADO",2082,"PFL","23191-marco antonio leal calado",1,1,"ANGELIM",53.907,"PE_ANGELIM",7.81399999999999
"PE",0,-9.15345,"SEVERINO ALEXANDRE SOBRINHO",2377,"PMDB","23205-severino alexandre sobrinho",1,0,"ARACOIABA",46.762,"PE_ARACOIABA",-6.476
"PE",1,9.15345,"HILDEMAR ALVES GUIMARAES",2856,"PSB","23205-hildemar alves guimaraes",1,1,"ARACOIABA",53.238,"PE_ARACOIABA",6.476
"PE",0,-5.24885,"JOSE GUERRA DE FARIAS",2789,"PFL","23221-jose guerra de farias",1,0,NA,NA,NA,NA
"PE",1,5.24885,"MARIA ROSINEIDE ARAUJO BARBOSA",3098,"PSB","23221-maria rosineide araujo barbosa",1,1,NA,NA,NA,NA
"PE",1,5.82067,"ROSA MARIA LINS DE ALBUQUERQUE DE BARROS CORREIA",14935,"PDT","23230-rosa maria lins de albuquerque de barros correia",1,1,"ARCOVERDE",50.119,"PE_ARCOVERDE",3.384
"PE",1,2.45139,"JOSE VIEIRA PEREIRA",2424,"PFL","23248-jose vieira pereira",1,1,"MANARI",47.831,"PE_MANARI",5.82
"PE",1,12.4763,"JOAO GOMES DE ARAUJO",2371,"PDT","23264-joao gomes de araujo",1,1,"JATOBA",54.342,"PE_JATOBA",12.628
"PE",1,18.2447,"JOAO MARCOLINO GOMES JUNIOR",9566,"PSB","23272-joao marcolino gomes junior",1,1,"BARREIROS",66.667,"PE_BARREIROS",33.334
"PE",0,-1.00266,"FRANCISCO PINTO DE FREITAS",2419,"PFL","23280-francisco pinto de freitas",1,0,"TAMANDARE",40.1,"PE_TAMANDARE",-13.783
"PE",1,1.00266,"PAULO GUIMARAES DOS SANTOS",2468,"PSB","23280-paulo guimaraes dos santos",1,1,"TAMANDARE",53.883,"PE_TAMANDARE",13.783
