"vote_gop","state_abb","income","mar_gay","gun_law"
1,"WA",1,1,0
1,"NY",4,0,0
0,"FL",2,0,0
1,"VA",5,1,0
0,"TX",3,0,0
0,"OH",2,0,0
1,"NC",2,1,0
1,"TN",4,1,0
0,"NC",5,0,0
0,"TX",5,0,0
1,"GA",3,1,0
1,"AZ",2,1,0
1,"CA",5,0,0
1,"GA",3,0,0
0,"TX",2,0,0
0,"IA",2,0,0
1,"NV",4,0,0
0,"WI",4,0,0
0,"NY",5,0,0
0,"FL",2,0,0
0,"VA",4,0,0
1,"FL",3,1,0
0,"FL",2,0,0
0,"OR",3,0,0
1,"PA",1,1,0
0,"AL",3,0,0
1,"FL",2,1,0
0,"WI",3,0,0
0,"MO",2,0,0
0,"PA",5,1,0
0,"VA",5,0,0
1,"AZ",3,1,0
1,"CA",5,1,0
1,"TX",3,0,0
1,"WA",3,0,0
0,"MA",2,1,0
1,"ME",3,1,0
1,"AZ",1,1,0
1,"GA",5,1,0
1,"PA",3,1,1
1,"ME",5,1,0
0,"IN",5,0,0
0,"FL",4,0,0
0,"FL",4,0,0
0,"UT",4,0,0
1,"IL",3,1,0
0,"FL",3,0,0
0,"CA",3,0,0
0,"CA",5,0,0
1,"CO",2,1,1
1,"FL",3,1,0
1,"VA",3,1,0
0,"NJ",5,0,0
1,"MD",5,1,1
1,"MT",4,1,1
0,"TX",5,0,0
0,"WI",5,0,0
1,"CA",5,1,0
1,"FL",5,0,0
0,"FL",5,0,0
1,"CA",5,0,0
1,"OH",4,1,0
0,"IN",1,1,0
1,"PA",4,1,0
0,"NJ",3,0,0
0,"MA",2,0,0
1,"AZ",5,1,0
1,"AR",1,1,1
1,"MO",3,1,0
0,"WA",5,0,0
1,"KY",4,1,0
1,"TX",4,1,0
1,"KY",2,1,1
0,"MI",5,0,0
1,"AL",2,1,1
1,"NC",4,1,0
0,"WA",2,0,0
1,"NC",3,1,0
1,"NC",3,1,1
0,"RI",4,0,0
0,"PA",2,1,0
0,"FL",4,1,0
1,"NE",5,1,0
0,"TX",1,1,0
1,"FL",3,1,0
0,"MD",4,0,0
1,"TX",5,1,0
1,"FL",5,1,0
1,"MI",5,1,0
1,"OR",3,1,1
1,"NY",5,1,0
0,"NJ",5,0,0
1,"OH",5,1,1
0,"VA",3,1,1
1,"WI",2,1,0
0,"KS",5,0,0
0,"AL",2,0,0
1,"FL",3,1,0
0,"IA",5,0,0
0,"NJ",1,0,0
0,"NY",5,0,0
0,"PA",1,1,0
0,"MS",4,0,0
1,"OH",1,1,1
1,"MD",5,1,1
0,"TX",4,0,0
0,"PA",2,1,0
1,"IN",1,0,0
1,"TN",5,1,0
1,"TX",5,0,1
0,"NY",5,0,0
1,"CA",3,0,0
1,"MN",4,1,0
1,"AR",4,1,1
0,"CA",5,0,0
0,"CA",5,0,0
1,"CA",4,1,1
0,"FL",4,0,0
1,"WA",3,1,0
0,"VT",3,1,0
1,"IL",2,0,0
0,"MI",3,0,0
0,"NY",4,0,0
0,"AZ",3,0,0
1,"ME",4,1,0
0,"NV",2,0,0
0,"NC",3,0,0
0,"DE",4,0,0
1,"TX",4,1,0
0,"PA",3,1,0
0,"FL",5,0,0
0,"TX",1,0,0
1,"MO",2,0,0
1,"KY",3,1,0
0,"AL",2,0,0
0,"CO",2,0,0
0,"FL",3,1,1
0,"OH",5,0,0
1,"WV",3,1,0
1,"WI",5,1,0
1,"FL",3,1,1
0,"MA",3,1,0
0,"NC",3,0,0
1,"TX",3,1,1
1,"NY",1,1,1
1,"WA",1,1,1
0,"NY",4,0,0
1,"GA",3,1,0
1,"SC",5,1,0
0,"FL",5,0,0
0,"NY",5,0,0
1,"TX",2,1,1
1,"NC",5,1,0
1,"RI",2,1,0
0,"MO",4,0,0
1,"OH",2,1,0
1,"GA",4,1,0
0,"OK",3,0,0
0,"OR",5,0,0
1,"TX",4,1,0
1,"KY",3,1,1
1,"TX",3,1,0
1,"TX",4,1,0
0,"CA",4,1,0
1,"OR",4,1,0
1,"MA",5,1,0
0,"NH",5,0,0
1,"TX",5,1,1
0,"FL",4,0,0
1,"NC",3,1,0
1,"MN",3,1,1
0,"MI",3,0,0
1,"TX",2,1,0
0,"NY",3,0,0
1,"IA",4,1,1
1,"AL",4,1,1
0,"GA",3,1,0
1,"CA",4,1,0
1,"ME",3,1,0
0,"FL",4,0,0
0,"CA",3,0,1
0,"NC",5,1,0
1,"AZ",5,1,0
1,"AZ",3,1,0
1,"NY",4,1,0
0,"WI",3,0,0
0,"IL",2,0,0
0,"NC",4,0,0
1,"CT",5,0,0
0,"OK",2,0,0
0,"MI",2,1,0
0,"PA",2,0,0
0,"VA",3,0,0
1,"MA",3,1,0
0,"MA",5,0,0
0,"MN",4,0,0
0,"MA",4,0,0
0,"NC",2,0,0
0,"WI",5,0,0
0,"GA",3,1,0
0,"CA",4,0,0
0,"OH",3,0,0
1,"ND",3,1,0
0,"IN",4,1,0
0,"IL",2,0,0
0,"KY",2,0,0
0,"FL",3,0,0
1,"WA",5,1,1
0,"TN",3,0,0
0,"WA",5,0,0
1,"VA",4,0,0
1,"OK",3,0,0
1,"TX",5,1,1
1,"MN",3,1,0
0,"NC",3,0,0
1,"SC",4,1,1
0,"MN",3,0,0
1,"MO",2,1,0
0,"MO",2,0,0
0,"NH",3,0,0
1,"MN",5,1,0
0,"FL",4,0,0
0,"TX",3,0,0
0,"WA",3,0,0
0,"NJ",3,0,0
1,"PA",2,0,0
1,"TN",3,1,0
1,"CA",5,1,1
1,"MA",4,1,0
1,"NC",4,1,0
1,"PA",5,0,0
0,"OH",2,0,0
0,"PA",5,0,0
0,"VA",3,0,0
0,"IL",2,0,0
1,"VA",5,1,0
1,"GA",1,1,1
1,"KS",1,1,1
0,"MA",5,0,0
0,"MI",5,0,0
1,"MO",3,0,0
1,"IN",4,1,1
1,"IL",3,1,0
0,"IL",5,0,0
0,"MD",5,1,0
1,"FL",2,1,0
0,"IL",3,1,0
1,"MD",5,1,0
1,"MI",3,1,1
1,"FL",5,1,0
0,"NC",2,0,0
0,"FL",2,0,0
0,"CA",2,0,0
1,"MI",3,0,0
1,"FL",2,1,0
1,"AL",3,1,1
0,"NC",3,0,0
1,"FL",4,0,1
1,"OH",2,1,0
0,"NC",3,0,0
1,"CA",3,1,0
